iso_code,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,tests_units,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cvd_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_100k
IND,India,17-03-2020,125,32,3,1,0.091,0.023,0.002,0.001,,,,,,1380004385,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53
IND,India,18-03-2020,137,12,3,0,0.099,0.009,0.002,0,13125,,0.01,,samples tested,1380004385,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53
IND,India,19-03-2020,165,28,3,0,0.12,0.02,0.002,0,13316,191,0.01,0,samples tested,1380004385,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53
IND,India,20-03-2020,191,26,4,1,0.138,0.019,0.003,0.001,14376,1060,0.01,0.001,samples tested,1380004385,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53
IND,India,21-03-2020,231,40,4,0,0.167,0.029,0.003,0,15701,1325,0.011,0.001,samples tested,1380004385,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53
IND,India,22-03-2020,320,89,4,0,0.232,0.064,0.003,0,16999,1298,0.012,0.001,samples tested,1380004385,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53
IND,India,23-03-2020,439,119,7,3,0.318,0.086,0.005,0.002,20707,3708,0.015,0.003,samples tested,1380004385,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53
IND,India,24-03-2020,492,53,9,2,0.357,0.038,0.007,0.001,20864,157,0.015,0,samples tested,1380004385,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53
IND,India,25-03-2020,562,70,9,0,0.407,0.051,0.007,0,25144,4280,0.018,0.003,samples tested,1380004385,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53
IND,India,26-03-2020,649,87,13,4,0.47,0.063,0.009,0.003,,,,,,1380004385,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53
IND,India,27-03-2020,724,75,17,4,0.525,0.054,0.012,0.003,27688,,0.02,,samples tested,1380004385,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53
IND,India,28-03-2020,873,149,19,2,0.633,0.108,0.014,0.001,,,,,,1380004385,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53
